grossUSD,numTicketsSold,ticketPriceFrom,ticketPriceTo,artist_id,artist_name,artist_url,outlier_yn
21525.0,2200,10.25,0.0,132982.0,Best Coast,https://www.pollstar.com/artist/best-coast-132982,False
2179.0,113,17.0,20.0,50737.0,Antigone Rising,https://www.pollstar.com/artist/antigone-rising-50737,False
17071.0,756,23.3,30.0,184639.0,Midland-Odessa Symphony & Chorale ,https://www.pollstar.com/artist/midland-odessa-symphony-chorale-184639,False
1336460.0,11032,75.0,125.0,52523.0,AC/DC,https://www.pollstar.com/artist/acdc-52523,True
35308.0,1201,28.0,0.0,178144.0,St. Paul And The Broken Bones,https://www.pollstar.com/artist/st-paul-and-the-broken-bones-178144,False
355519.0,5342,40.0,150.0,21935.0,Maxwell,https://www.pollstar.com/artist/maxwell-21935,True
36000.0,1125,32.0,0.0,38564.0,Echo & The Bunnymen,https://www.pollstar.com/artist/echo-the-bunnymen-38564,False
933121.0,19273,27.5,76.25,24882.0,Little Big Town,https://www.pollstar.com/artist/little-big-town-24882,True
54790.0,2000,25.0,30.0,206056.0,Vibe Street,https://www.pollstar.com/artist/vibe-street-206056,False
38171.0,717,42.0,55.0,27275.0,Keb' Mo',https://www.pollstar.com/artist/keb-mo-27275,False
3569.0,185,18.0,20.0,12079.0,Rogue Wave,https://www.pollstar.com/artist/rogue-wave-12079,False
4968.5,90,66.0,0.0,57656.0,Las Vegas Philharmonic Orchestra,https://www.pollstar.com/artist/las-vegas-philharmonic-orchestra-57656,False
395899.5,4982,20.0,139.5,153377.0,Caifanes,https://www.pollstar.com/artist/caifanes-153377,True
11910.0,514,20.0,25.0,142468.0,Sammy Adams,https://www.pollstar.com/artist/sammy-adams-142468,False
9040.0,452,20.0,0.0,160133.0,Sean Anonymous,https://www.pollstar.com/artist/sean-anonymous-160133,False
4010.0,229,17.0,20.0,102554.0,John 5,https://www.pollstar.com/artist/john-5-102554,False
85271.4,2134,17.38,80.0,45571.0,Casting Crowns,https://www.pollstar.com/artist/casting-crowns-45571,False
18095.0,1078,20.0,0.0,6824.0,Stryper,https://www.pollstar.com/artist/stryper-6824,False
348.0,30,10.0,12.0,189596.0,Meat Wave,https://www.pollstar.com/artist/meat-wave-189596,False
853476.0,9539,31.0,121.0,20718.0,Miguel,https://www.pollstar.com/artist/miguel-20718,True
182000.0,5600,32.5,0.0,89242.0,Elle King,https://www.pollstar.com/artist/elle-king-89242,False
13440.0,463,20.0,50.0,17355.0,O-Town,https://www.pollstar.com/artist/o-town-17355,False
213034.0,2816,49.5,99.5,47191.0,Bonnie Raitt,https://www.pollstar.com/artist/bonnie-raitt-47191,False
82526.0,1349,38.0,110.0,133939.0,Neon Swing X-Perience,https://www.pollstar.com/artist/neon-swing-x-perience-133939,False
65209.0,943,47.5,93.0,28796.0,Joe Satriani,https://www.pollstar.com/artist/joe-satriani-28796,False
8950.0,538,10.0,20.0,180850.0,The Oh Hellos,https://www.pollstar.com/artist/the-oh-hellos-180850,False
5250.0,350,15.0,0.0,25415.0,Leftover Crack,https://www.pollstar.com/artist/leftover-crack-25415,False
4422.0,219,20.0,23.0,27939.0,Joshua Radin,https://www.pollstar.com/artist/joshua-radin-27939,False
75892.5,2587,27.5,75.0,183081.0,Melanie Martinez,https://www.pollstar.com/artist/melanie-martinez-183081,False
52850.0,1789,29.0,44.0,213760.0,Zakk Sabbath,https://www.pollstar.com/artist/zakk-sabbath-213760,False
143537.0,1701,39.0,109.0,20125.0,The Moody Blues,https://www.pollstar.com/artist/the-moody-blues-20125,False
